doc_num,consolidationyear,instrumentNumber,longtitle,modifiedyear,registrationyear,regulationmaker,topic 1,topic 2,overarching topic
doc_0,2018,SOR/2017-109,Environmental Violations Administrative Monetary Penalties Regulations,2017,2017,P.C.,environment / violation,no topic,environment
doc_1,2018,SOR/85-567,Regulations Respecting Mailable Matter Bearing No Postage or Insufficient Postage,NA,1985,P.C.,postage,no topic,postal service
doc_2,2018,SOR/93-293,Regulations Respecting Zoning at Bagotville Airport,2011,1993,P.C.,airport,no topic,airport / aircrafts
doc_3,2018,SOR/98-87,"Shirting Fabrics Remission Order, 1998",2005,1997,P.C.,fashion / textile,no topic,apparel / textile
doc_4,2018,"C.R.C., c. 208",Regulations Respecting the Marketing in Interprovincial and Export Trade of Greenhouse Vegetables Produced in Ontario,2005,NA,,greenhouse / marketing,no topic,greenhouse
doc_5,2018,SOR/98-578,Proclamation declaring that the ,2005,1998,,violation,no topic,violation
doc_7,2018,SOR/86-1135,Zoning Regulations Respecting Deer Lake Airport,2011,1986,P.C.,airport,no topic,airport / aircrafts
doc_9,2018,SOR/2007-121,Proceeds of Crime (Money Laundering) and Terrorist Financing Registration Regulations,2007,2007,P.C.,entity registration,no topic,entity
doc_13,2018,SOR/2017-121,Locomotive Emissions Regulations,2017,2017,P.C.,locomotive,no topic,automobile
doc_14,2018,SOR/57-216,Regulations Respecting Section 12 of the Dominion Succession Duty Act,2005,1957,P.C.,airport,fashion / textile,airport / aircrafts
doc_15,2018,SOR/93-522,Regulations Respecting Zoning at St. Leonard Airport,2011,1993,P.C.,directions,airport,directions
doc_16,2018,SOR/91-74,"Order Authorizing the Maximum Amounts that May Be Paid in the Year 1991 as Benefits under Sections 24, 25 and 26 of the Unemployment Insurance Act",2008,1990,P.C.,finance / insurance,no topic,finance
doc_17,2018,SOR/98-50,Diversion of Imported Goods Exemption Regulations,2005,1997,P.C.,fishery,no topic,fishery
doc_19,2018,SOR/98-44,"Determination, Re-Determination and Further Re-Determination of Origin, Tariff Classification and Value for Duty Regulations",2005,1997,P.C.,airport,no topic,airport / aircrafts
doc_20,2018,"C.R.C., c. 1359",Regulations Made Pursuant to Subsection 32(10) of the Public Service Superannuation Act,2005,NA,,superannuation,no topic,superannuation
doc_24,2018,SOR/2011-91,Deposit Out of the Normal Course of Events Notification Regulations,2011,2011,P.C.,environment / agriculture,no topic,environment
doc_26,2018,SOR/82-719,Order Granting Authority to Regulate the Marketing in Interprovincial and Export Trade of Wheat Produced in Nova Scotia,2011,1982,P.C.,poultry / food,marketing,agriculture / food
doc_27,2018,SOR/2005-232,Order Authorizing Negotiations for the Settlement of the Dispute Causing the Extraordinary Disruption of the National Transportation System in Relation to Container Movements into and out of Certain Ports in British Columbia,2005,2005,P.C.,port authority,beneficiary,port authority
doc_29,2018,SOR/2011-170,Public Servants Disclosure Protection Tribunal Rules of Procedure,2011,2011,,branch closure,no topic,branch closure
doc_30,2018,SOR/2005-226,Proclamation Exempting Tom MacKay Lake from the Operation of Section 22 of the Act,2006,2005,,finance / insurance,no topic,finance
doc_31,2018,"C.R.C., c. 591","Regulations Respecting the Calculation of Deductions, Refunds or Payments by the Minister Equal to Consumption or Sales Tax",2005,NA,,superannuation,no topic,superannuation
doc_33,2018,SOR/94-562,Order Respecting the Privileges and Immunities in Canada of the North Pacific Anadromous Fish Commission,2008,1994,P.C.,information / bank,no topic,bank / finance
doc_35,2018,"C.R.C., c. 778",Order Respecting the Remission of Customs Duty on Perfluorinated Ion-Exchange Membranes,2005,NA,,settler,no topic,settler
doc_37,2018,SOR/82-296,Regulations Respecting Zoning at Norman Wells Airport,2011,1982,P.C.,directions,airport,directions
doc_38,2018,SOR/2001-399,Manner of Calculation (Foreign Banks) Regulations,2008,2001,P.C.,foreign entity / bank,no topic,foreign policy
doc_39,2018,SOR/2012-17,General Import Permit No. 80 — Carbon Steel,2012,2012,,substance dealer licence,insurance company,licence
doc_40,2018,SOR/92-282,Regulations Prescribing Classes of Persons the Members of Which are Resident Canadians,2005,1992,P.C.,insurance company,no topic,insurance
doc_41,2018,SOR/2008-67,Prescribed Deposits (Retail Associations Without Deposit Insurance) Regulations,2008,2008,P.C.,internal labour,retail association / deposit,employment
doc_43,2018,SOR/2015-36,Radiocommunication Act (Subsection 4(4) and Paragraph 9(1)(,2015,2015,,substance dealer licence,radio communication,licence
doc_44,2018,SOR/2016-124,National Energy Board Pipeline Damage Prevention Regulations – Authorizations,2016,2016,,pipeline / energy,no topic,energy / pipeline / oil
doc_45,2018,SOR/2001-57,Supervisory Information (Cooperative Credit Associations) Regulations,2005,2001,P.C.,information / bank,no topic,bank / finance
doc_46,2018,SOR/2002-266,Support Orders and Support Provisions (Trust and Loan Companies) Regulations,2007,2002,P.C.,wastewater system,firearm,water
doc_51,2018,SOR/96-117,Regulations Respecting Geophysical Operations in Relation to Exploration for Oil and Gas in any Area to which the Canada Oil and Gas Operations Act Applies,2011,1996,P.C.,geophysical operation,no topic,geography
doc_56,2018,SOR/2009-214,CPFTA Rules of Origin Regulations,2009,2009,P.C.,entity registration,no topic,entity
doc_57,2018,SOR/2009-200,CEFTA Tariff Preference Regulations,2009,2009,P.C.,shipping route,agriculture,ship / vessel
doc_58,2018,SOR/86-895,Regulations Respecting the Telecommunication Programming Services Tax,2010,1986,,nuclear / ontario hydro,no topic,nuclear
doc_60,2018,SOR/2001-366,"Ancillary Activities (Insurance Companies, Canadian Societies and Insurance Holding Companies) Regulations",2008,2001,P.C.,insurance company,no topic,insurance
doc_61,2018,"C.R.C., c. 793",Order Respecting the Remission of Excise Duty on Spirits Destroyed by Accident,2005,NA,,chemicals,no topic,chemicals
doc_63,2018,"C.R.C., c. 1601",Regulations Made Pursuant to the War Service Grants Act,2005,NA,,radioactive material / packaging,no topic,nuclear
doc_64,2018,SOR/2010-161,Regulations Prescribing Certain Offences to be Serious Offences,2010,2010,P.C.,finance / offence,no topic,finance
doc_65,2018,SOR/81-235,Regulations Prescribing the Notice of Objection Form To Be Used by a Company that Objects to an Assessment Under Section 26 of the Northern Pipeline Act,2016,1981,P.C.,northern pipeline,no topic,energy / pipeline / oil
doc_68,2018,SOR/81-547,"Regulations Respecting the Disposition of Certain Property Under the Control, Management and Administration of the Minister of National Revenue",2010,1981,P.C.,first nation / property,property,first nation
doc_69,2018,SOR/89-421,Regulations Respecting the Fees To Be Paid by the Commissioner of the Bermuda Police Force for Services Provided by the Forensic Laboratory Services and Identification Services of the Royal Canadian Mounted Police,2011,1989,P.C.,police force,no topic,police
doc_72,2018,SOR/2013-101,Administrative Monetary Penalties (Consumer Products) Regulations,2013,2013,P.C.,violation,no topic,violation
doc_74,2018,SOR/86-922,Regulations Respecting the Movement in Trains of Service Equipment Cars,2011,1986,,railway,no topic,railway
doc_75,2018,SOR/99-409,Order respecting Privileges and Immunities in relation to the Preparatory Commission for the Comprehensive Nuclear Test-Ban Treaty Organization and its Provisional Technical Secretariat,2008,1999,P.C.,preparatory commission,no topic,preparatory commission
doc_76,2018,SOR/2007-243,First Nations Taxation Enforcement Regulations,2007,2007,P.C.,first nation / property,no topic,first nation
doc_78,2018,SOR/99-384,Exemption from Deposit Insurance By-law (Foreign Currency Deposits),2008,1999,,retail association / deposit,no topic,retail
doc_82,2018,"C.R.C., c. 803",Regulations Exempting Certain Carriers from Application of Paragraphs 21(1)(b) and (c) of the Freshwater Fish Marketing Act,2005,NA,,corporation,no topic,corporations
doc_83,2018,SOR/2007-294,Olympic and Paralympic Marks Regulations,2008,2007,P.C.,olympic,no topic,sports
doc_84,2018,SOR/85-188,Regulations Respecting Zoning at Peace River Airport,2011,1985,P.C.,directions,directions,directions
doc_85,2018,SOR/2001-206,Radiocommunication Act (Paragraph 9(1)(c)) Exemption Order,2008,2001,P.C.,preparatory commission,no topic,preparatory commission
doc_87,2018,SOR/2008-167,Prescribed Group of Consumers Regulations,2008,2008,P.C.,internal labour,no topic,employment
doc_89,2018,SOR/92-309,Regulations Prescribing Certain Transactions  and Classes of Transactions that a Bank may  Enter into with Related Parties of the Bank,2005,1992,P.C.,bank / textile,no topic,bank / finance
doc_91,2018,SOR/2002-138,Moose Jaw Airport Zoning Regulations,2011,2002,P.C.,directions,no topic,directions
doc_93,2018,SOR/83-481,Regulations Prescribing a Definition for the Word Letter,2010,1983,P.C.,documents,no topic,communication
doc_95,2018,SOR/99-145,Alberta Chicken Order,2005,1999,P.C.,poultry / food,poultry / food,agriculture / food
doc_97,2018,"C.R.C., c. 1588","Regulations Delegating Powers Conferred by Parts I and II of the Veterans’ Land Act upon the Director, the Veterans’ Land Act",2005,NA,,first nation / property,property,first nation
doc_98,2018,SOR/2012-138,Firearms Information Regulations (Non-restricted Firearms),2012,2012,P.C.,firearm,no topic,firearms
doc_100,2018,SOR/93-481,"Regulations Prescribing the Fee for Fingerprinting for the Purposes of a Visa, Licence or Security Clearance",2008,1993,P.C.,pipeline / energy,no topic,energy / pipeline / oil
doc_101,2018,SOR/2002-104,Notice of Branch Closure (Banks) Regulations,2005,2002,P.C.,branch closure,no topic,branch closure
doc_104,2018,SOR/2006-246,Statistical Data Disclosure Regulations,2006,2006,P.C.,poultry / food,no topic,agriculture / food
doc_105,2018,"C.R.C., c. 340",REGULATIONS RESPECTING THE REIMBURSEMENT OF PROVINCES FOR MONEYS PAID TO OWNERS OF ANIMALS DYING AS A RESULT OF RABIES,2006,NA,,finance / insurance,greenhouse,finance
doc_106,2018,SOR/2006-252,Period for Entering into an Agreement for the Purpose of Jointly Establishing a Review Panel Regulations,2006,2006,P.C.,precautions,no topic,precautions
doc_109,2018,SOR/93-65,"Order Exempting the Proposed Acquisition of an Increased Interest in Greyhound Lines of Canada Ltd. from the Application of Part VII of the National Transportation Act, 1987",2008,1993,P.C.,transportation,no topic,transport
doc_110,2018,SOR/96-275,Regulations Prescribing Transactions that an Association May Enter Into with a Related Party of the Association,2008,1996,P.C.,wage,no topic,employment
doc_111,2018,SOR/2009-162,"Chromium Electroplating, Chromium Anodizing and Reverse Etching Regulations",2009,2009,P.C.,chemicals / chromium,no topic,chemicals
doc_112,2018,SOR/2000-217,Benzodiazepines and Other Targeted Substances Regulations,2008,2000,P.C.,substance dealer licence,no topic,licence
doc_115,2018,SOR/2004-155,Schedule 1 Chemicals Regulations (Chemical Weapons Convention),NA,2004,P.C.,licence / chemicals,no topic,licence
doc_116,2018,"C.R.C., c. 1563",Regulations Respecting the Disposal of Personal Property Left at Airports,2005,NA,,airport,no topic,airport / aircrafts
doc_117,2018,SOR/86-1082,Guidelines Respecting the Application of Section 11 of the Canadian Human Rights Act and Prescribing Factors Justifying Different Wages for Work of Equal Value,2005,1986,,wage,no topic,employment
doc_118,2018,SOR/2010-203,"Certain Ships Remission Order, 2010",2010,2010,P.C.,remission,no topic,remission
doc_122,2018,SOR/96-249,Regulations Prescribing the Time and Manner of Making Fiscal Equalization Offset Payments in Respect of Offshore Revenue to Her Majesty in Right of Nova Scotia,2008,1996,P.C.,finance / insurance,no topic,finance
doc_123,2018,SOR/2005-353,Hunter Douglas Canada Remission Order,2009,2005,P.C.,wastewater system,no topic,water
doc_124,2018,SOR/2009-177,Order Designating Nova Scotia for the Purposes of the Criminal Interest Rate Provisions of the Criminal Code,2009,2009,P.C.,poultry / food,no topic,agriculture / food
doc_126,2018,SOR/2010-202,"Tankers and Cargo Vessels Remission Order, 2010",2010,2010,P.C.,remission,no topic,remission
doc_127,2018,SOR/2005-347,Public Service Official Languages Appointment Regulations,2008,2005,C.P.,airport / language,no topic,airport / aircrafts
doc_129,2018,SOR/93-325,Regulations Respecting Zoning at Gjoa Haven Airport,2011,1993,P.C.,airport,airport,airport / aircrafts
doc_130,2018,SOR/98-380,Order Respecting the First Legislative Assembly of Nunavut,2008,1998,P.C.,directions,no topic,directions
doc_131,2018,SOR/89-187,Order Authorizing the Minister of Finance to Exercise the Powers of the Minister of Fisheries and Oceans Referred to in the Act in Respect of National Sea Products Limited,2005,NA,,fishery,no topic,fishery
doc_134,2018,SOR/87-701,Order Providing for the Fixing and Imposing of Levies on Pulse Crops Produced in Saskatchewan and Marketed in Interprovincial and Export Trade,2011,1987,,environment / agriculture,no topic,environment
doc_135,2018,SOR/2016-5,North American Foreign Ministers Meeting 2016 — Privileges and Immunities Order,2016,2016,P.C.,chemicals / chromium,no topic,chemicals
doc_136,2018,"C.R.C., c. 427",Order Designating a Member of the Queen’s Privy Council for Canada to Act as the Minister for the Purposes of the Canada Business Corporations Act,2005,NA,,internal labour,no topic,employment
doc_137,2018,SOR/98-419,Imports of Certain Textile and Apparel Goods from Chile Customs Duty Remission Order,2008,1998,P.C.,free trade,no topic,trade
doc_138,2018,SOR/2002-105,Notice of Branch Closure (Cooperative Credit Associations) Regulations,2008,2002,P.C.,branch closure,no topic,branch closure
doc_141,2018,"C.R.C., c. 355",Order Delegating Power and Authority Under Section 26 of the Arctic Waters Pollution Prevention Act,2005,NA,,trade,no topic,trade
doc_142,2018,SOR/2012-139,Wastewater Systems Effluent Regulations,2012,2012,P.C.,wastewater system,no topic,water
doc_143,2018,SOR/90-225,Order Respecting the Exemption of Certain Goods or Classes of Goods from Certain Requirements Specified in Tariff Item No. 9807.00.00,2008,1990,P.C.,settler,no topic,settler
doc_144,2018,SOR/93-480,Regulations Prescribing the Fees To Be Paid for the Use of Royal Canadian Mounted Police Forensic Laboratory Services,2008,1993,P.C.,forensic / police,no topic,police
doc_145,2018,SOR/95-360,Order Respecting the Remission of the Tax Imposed Under Division III of Part IX of the Excise Tax Act on Printed Material Imported for Use by Foreign Carriers,2006,1995,P.C.,insurance company,no topic,insurance
doc_146,2018,SOR/90-231,Regulations Respecting the Establishment of a Quota System by which Quotas Are Assigned by Provincial Commodity Boards to Turkey Producers for the Marketing of Turkey in Interprovincial and Export Trade,2006,1990,,poultry / food,no topic,agriculture / food
doc_148,2018,SOR/99-144,St. Lawrence Seaway Authority Divestiture Regulations,2008,1999,T.B.,foreign entity / bank,no topic,foreign policy
doc_151,2018,SOR/2015-145,"Packaging and Transport of Nuclear Substances Regulations, 2015",2015,2015,P.C.,radioactive material / packaging,no topic,nuclear
doc_152,2018,SOR/2004-99,Rules of Practice and Procedure of the Tax Court of Canada in Respect of Appeals Under Part V.1 of the Customs Act (Informal Procedure),2007,2004,P.C.,court appeal,no topic,appeal / hearing
doc_154,2018,"C.R.C., c. 180",Order Granting Authority to Regulate the Marketing in Interprovincial and Export Trade of Chickens Produced in Ontario,2005,NA,,poultry / food,poultry / food,agriculture / food
doc_155,2018,SOR/2005-151,Canada Education Savings Regulations,2005,2005,P.C.,beneficiary,no topic,beneficiary
